country;lat;lon;date;#affected+infected+value+num;#country+code;#region+main+code;#region+sub+code;#region+intermediate+code;
Albania;411.533;201.683;17/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;16/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;15/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;14/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;13/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;12/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;11/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;10/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;09/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;08/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;07/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;06/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;05/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;04/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;03/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;02/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;01/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;31/01/2020;0;ALB;150;39;;
Albania;411.533;201.683;30/01/2020;0;ALB;150;39;;
Albania;411.533;201.683;29/01/2020;0;ALB;150;39;;
Albania;411.533;201.683;28/01/2020;0;ALB;150;39;;
Albania;411.533;201.683;27/01/2020;0;ALB;150;39;;
Albania;411.533;201.683;26/01/2020;0;ALB;150;39;;
Albania;411.533;201.683;25/01/2020;0;ALB;150;39;;
Albania;411.533;201.683;24/01/2020;0;ALB;150;39;;
Albania;411.533;201.683;23/01/2020;0;ALB;150;39;;
Albania;411.533;201.683;22/01/2020;0;ALB;150;39;;
Algeria;280.339;16.596;30/05/2020;5549;DZA;2;15;;
Algeria;280.339;16.596;29/05/2020;5422;DZA;2;15;;
Algeria;280.339;16.596;28/05/2020;5277;DZA;2;15;;
Algeria;280.339;16.596;27/05/2020;5129;DZA;2;15;;
Algeria;280.339;16.596;26/05/2020;4918;DZA;2;15;;
Algeria;280.339;16.596;25/05/2020;4747;DZA;2;15;;
Algeria;280.339;16.596;24/05/2020;4784;DZA;2;15;;
Algeria;280.339;16.596;23/05/2020;4426;DZA;2;15;;
Algeria;280.339;16.596;22/05/2020;4256;DZA;2;15;;
Algeria;280.339;16.596;21/05/2020;4062;DZA;2;15;;
Algeria;280.339;16.596;20/05/2020;3968;DZA;2;15;;
Algeria;280.339;16.596;19/05/2020;3746;DZA;2;15;;
Algeria;280.339;16.596;18/05/2020;3625;DZA;2;15;;
Algeria;280.339;16.596;17/05/2020;3507;DZA;2;15;;
Algeria;280.339;16.596;16/05/2020;3409;DZA;2;15;;
Algeria;280.339;16.596;15/05/2020;3271;DZA;2;15;;
Algeria;280.339;16.596;14/05/2020;3158;DZA;2;15;;
Algeria;280.339;16.596;13/05/2020;3058;DZA;2;15;;
Algeria;280.339;16.596;12/05/2020;2998;DZA;2;15;;
Algeria;280.339;16.596;11/05/2020;2841;DZA;2;15;;
Algeria;280.339;16.596;10/05/2020;2678;DZA;2;15;;
Algeria;280.339;16.596;09/05/2020;2546;DZA;2;15;;
Algeria;280.339;16.596;08/05/2020;2467;DZA;2;15;;
Algeria;280.339;16.596;07/05/2020;2323;DZA;2;15;;
Algeria;280.339;16.596;06/05/2020;2197;DZA;2;15;;
Algeria;280.339;16.596;05/05/2020;2067;DZA;2;15;;
Algeria;280.339;16.596;04/05/2020;1998;DZA;2;15;;
Algeria;280.339;16.596;03/05/2020;1936;DZA;2;15;;
Algeria;280.339;16.596;02/05/2020;1872;DZA;2;15;;
Algeria;280.339;16.596;01/05/2020;1821;DZA;2;15;;
Algeria;280.339;16.596;30/04/2020;1779;DZA;2;15;;
Algeria;280.339;16.596;29/04/2020;1702;DZA;2;15;;
Algeria;280.339;16.596;28/04/2020;1651;DZA;2;15;;
Algeria;280.339;16.596;27/04/2020;1558;DZA;2;15;;
Algeria;280.339;16.596;26/04/2020;1508;DZA;2;15;;
Algeria;280.339;16.596;25/04/2020;1479;DZA;2;15;;
Algeria;280.339;16.596;24/04/2020;1408;DZA;2;15;;
Algeria;280.339;16.596;23/04/2020;1355;DZA;2;15;;
Algeria;280.339;16.596;22/04/2020;1204;DZA;2;15;;
Algeria;280.339;16.596;21/04/2020;1152;DZA;2;15;;
Algeria;280.339;16.596;20/04/2020;1099;DZA;2;15;;
Algeria;280.339;16.596;19/04/2020;1047;DZA;2;15;;
Algeria;280.339;16.596;18/04/2020;894;DZA;2;15;;
Algeria;280.339;16.596;17/04/2020;846;DZA;2;15;;
Algeria;280.339;16.596;16/04/2020;783;DZA;2;15;;
Algeria;280.339;16.596;15/04/2020;708;DZA;2;15;;
Algeria;280.339;16.596;14/04/2020;691;DZA;2;15;;
Algeria;280.339;16.596;13/04/2020;601;DZA;2;15;;
Algeria;280.339;16.596;12/04/2020;591;DZA;2;15;;
Algeria;280.339;16.596;11/04/2020;460;DZA;2;15;;
Algeria;280.339;16.596;10/04/2020;405;DZA;2;15;;
Algeria;280.339;16.596;09/04/2020;347;DZA;2;15;;
Algeria;280.339;16.596;08/04/2020;237;DZA;2;15;;
Algeria;280.339;16.596;07/04/2020;113;DZA;2;15;;
Algeria;280.339;16.596;06/04/2020;90;DZA;2;15;;
Algeria;280.339;16.596;05/04/2020;90;DZA;2;15;;
Algeria;280.339;16.596;04/04/2020;90;DZA;2;15;;
Algeria;280.339;16.596;03/04/2020;62;DZA;2;15;;
Algeria;280.339;16.596;02/04/2020;61;DZA;2;15;;
Algeria;280.339;16.596;01/04/2020;61;DZA;2;15;;
Algeria;280.339;16.596;31/03/2020;46;DZA;2;15;;
Algeria;280.339;16.596;30/03/2020;37;DZA;2;15;;
Algeria;280.339;16.596;29/03/2020;31;DZA;2;15;;
Algeria;280.339;16.596;28/03/2020;31;DZA;2;15;;
Algeria;280.339;16.596;27/03/2020;29;DZA;2;15;;
Algeria;280.339;16.596;26/03/2020;29;DZA;2;15;;
Algeria;280.339;16.596;25/03/2020;65;DZA;2;15;;
Algeria;280.339;16.596;24/03/2020;24;DZA;2;15;;
Algeria;280.339;16.596;23/03/2020;65;DZA;2;15;;
Algeria;280.339;16.596;22/03/2020;65;DZA;2;15;;
Algeria;280.339;16.596;21/03/2020;32;DZA;2;15;;
Algeria;280.339;16.596;20/03/2020;32;DZA;2;15;;
Algeria;280.339;16.596;19/03/2020;32;DZA;2;15;;
Algeria;280.339;16.596;18/03/2020;12;DZA;2;15;;
Algeria;280.339;16.596;17/03/2020;12;DZA;2;15;;
Algeria;280.339;16.596;16/03/2020;12;DZA;2;15;;
Algeria;280.339;16.596;15/03/2020;12;DZA;2;15;;
Algeria;280.339;16.596;14/03/2020;12;DZA;2;15;;
Algeria;280.339;16.596;13/03/2020;8;DZA;2;15;;
Algeria;280.339;16.596;12/03/2020;8;DZA;2;15;;
Algeria;280.339;16.596;11/03/2020;0;DZA;2;15;;
Algeria;280.339;16.596;10/03/2020;0;DZA;2;15;;
Algeria;280.339;16.596;09/03/2020;0;DZA;2;15;;
Algeria;280.339;16.596;08/03/2020;0;DZA;2;15;;
Algeria;280.339;16.596;07/03/2020;0;DZA;2;15;;
Algeria;280.339;16.596;06/03/2020;0;DZA;2;15;;
Algeria;280.339;16.596;05/03/2020;0;DZA;2;15;;
Algeria;280.339;16.596;04/03/2020;0;DZA;2;15;;
Algeria;280.339;16.596;03/03/2020;0;DZA;2;15;;
Algeria;280.339;16.596;02/03/2020;0;DZA;2;15;;
Algeria;280.339;16.596;01/03/2020;0;DZA;2;15;;
Algeria;280.339;16.596;29/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;28/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;27/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;26/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;25/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;24/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;23/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;22/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;21/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;20/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;19/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;18/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;17/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;16/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;15/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;14/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;13/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;12/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;11/02/2020;0;DZA;2;15;;
